f_name,cap,available_for
法学部文科一類,118,1
法学部文科二類,1,2
法学部文科三類,1,3
法学部理科一類,1,5
法学部理科二類,1,6
法学部理科枠,2,8
経済学部文科二類,81,2
経済学部理科枠,3,8
経済学部全科類,18,9
文哲学文科三類,3,3
文哲学全科類,3,9
文中国思想文科三類,2,3
文中国思想全科類,2,9
文イン哲文科三類,3,3
文イン哲全科類,2,9
文倫理文科三類,2,3
文倫理全科類,3,9
文宗教文科三類,1,3
文宗教全科類,2,9
文美学文科三類,1,3
文美学全科類,2,9
文イスラム文科三類,1,3
文イスラム全科類,2,9
文日本史文科三類,2,3
文日本史全科類,3,9
文東洋史文科三類,4,3
文東洋史全科類,3,9
文西洋史文科三類,2,3
文西洋史全科類,2,9
文考古学文科三類,3,3
文考古学全科類,2,9
文美術文科三類,1,3
文美術全科類,2,9
文言語文科三類,2,3
文言語全科類,2,9
文日本（国語）文科三類,2,3
文日本（国語）全科類,2,9
文日本（国文）文科三類,5,3
文日本（国文）全科類,3,9
文中国語文科三類,1,3
文中国語全科類,2,9
文インド語文科三類,1,3
文インド語全科類,2,9
文英語文科三類,5,3
文英語全科類,3,9
文ドイ語文科三類,3,3
文ドイ語全科類,2,9
文フラ語文科三類,3,3
文フラ語全科類,3,9
文スラヴ語文科三類,1,3
文スラヴ語全科類,2,9
文南欧語文科三類,1,3
文南欧語全科類,2,9
文現代文芸全科類,1,9
文西洋古典文科三類,1,3
文西洋古典全科類,2,9
文心理文科三類,2,3
文心理全科類,4,9
文社会心理文科三類,2,3
文社会心理全科類,3,9
文社会文科三類,10,3
文社会全科類,7,9
基礎教育文科三類,4,3
比教社文科三類,3,3
教育実践文科三類,4,3
教育心理文科三類,4,3
教育心理理科枠,2,8
教養学科文科一類,6,1
教養学科文科二類,6,2
教養学科文科三類,15,3
教養学科理科枠,4,8
統合自然科学科文科枠,1,4
統合自然科学科理科三類,16,7
学際A文科枠,3,4
学際A理科枠,1,8
学際B文科枠,1,4
学際B理科枠,2,8
社会基盤学B理科一類,6,5
社会基盤学C理科一類,3,5
建築理科一類,15,5
建築理科枠,2,8
都市環境工学理科一類,4,5
都市環境工学理科枠,2,8
都市環境工学全科類,2,9
都市計画理科一類,10,5
都市計画全科類,2,9
機械A理科一類,25,5
機械B理科一類,12,5
航空宇宙理科一類,15,5
精密工学理科一類,11,5
精密工学理科枠,3,8
電子情報理科一類,12,5
電子情報理科枠,8,8
電子情報全科類,3,9
電気電子理科一類,16,5
電気電子理科枠,5,8
電気電子全科類,8,9
物理工学理科一類,10,5
物理工学理科枠,2,8
物理工学全科類,5,9
計数工学理科一類,15,5
計数工学全科類,2,9
マテA理科一類,6,5
マテB理科一類,7,5
マテC理科一類,7,5
マテC理科二類,2,6
応用化学理科一類,13,5
応用化学理科二類,2,6
応用化学理科枠,2,8
化学システム理科一類,11,5
化学システム理科二類,3,6
化学システム全科類,2,9
化学生命理科一類,9,5
化学生命理科二類,5,6
シス創A理科一類,11,5
シス創A理科二類,1,6
シス創B理科一類,10,5
シス創C理科一類,12,5
シス創C理科二類,1,6
数学全科類,13,9
情報科学全科類,8,9
物理全科類,21,9
天文全科類,2,9
地惑物理全科類,9,9
地惑環境理科枠,4,8
地惑環境全科類,2,9
化学理科枠,13,8
生物化学理科枠,6,8
生物情報科学理科枠,3,8
生物全科類,6,9
生命化学理科枠,23,8
応用生物理科枠,8,8
森林生物理科枠,3,8
水園生物理科枠,6,8
動物生命システム理科二類,2,6
生物素材理科枠,4,8
緑地環境理科枠,1,8
森林環境資源文科枠,1,4
森林環境資源理科枠,3,8
木質構造科学理科枠,2,8
生物・環境工学文科枠,1,4
生物・環境工学理科枠,7,8
農経文科枠,3,4
農経理科枠,6,8
フィールド科学理科枠,2,8
国際開発農学理科枠,6,8
獣医理科二類,8,6
薬学部理科枠,24,8
医学部医学科理科三類,33,7
医学部健康総合理科枠,8,8
社会基盤A理科一類,6,5
